,Subject,Exercise,View,best_shift
0,1,Front lunge,Frontal,49
1,1,Front lunge,Side,
2,1,Jumping jacks,Frontal,9
3,1,Jumping jacks,Side,
4,1,Lateral arm raise,Frontal,4
5,1,Lateral arm raise,Side,
6,1,Leg extension crunch,Frontal,-2
7,1,Leg extension crunch,Side,
8,1,Reverse fly,Frontal,21
9,1,Reverse fly,Side,
10,1,Side squat,Frontal,1
11,1,Side squat,Side,
12,1,Single leg deadlift,Frontal,34
13,1,Single leg deadlift,Side,
14,1,Squat,Frontal,16
15,1,Squat,Side,
16,2,Front lunge,Frontal,-29
17,2,Front lunge,Side,-20
18,2,Jumping jacks,Frontal,8
19,2,Jumping jacks,Side,8
20,2,Lateral arm raise,Frontal,-1
21,2,Lateral arm raise,Side,-3
22,2,Leg extension crunch,Frontal,-32
23,2,Leg extension crunch,Side,-21
24,2,Reverse fly,Frontal,-9
25,2,Reverse fly,Side,-11
26,2,Side squat,Frontal,-2
27,2,Side squat,Side,-2
28,2,Single leg deadlift,Frontal,-18
29,2,Single leg deadlift,Side,-20
30,2,Squat,Frontal,4
31,2,Squat,Side,-2
32,3,Front lunge,Frontal,0
33,3,Front lunge,Side,-4
34,3,Jumping jacks,Frontal,5
35,3,Jumping jacks,Side,9
36,3,Lateral arm raise,Frontal,5
37,3,Lateral arm raise,Side,5
38,3,Leg extension crunch,Frontal,-23
39,3,Leg extension crunch,Side,-23
40,3,Reverse fly,Frontal,2
41,3,Reverse fly,Side,1
42,3,Side squat,Frontal,-6
43,3,Side squat,Side,-19
44,3,Single leg deadlift,Frontal,4
45,3,Single leg deadlift,Side,-2
46,3,Squat,Frontal,-1
47,3,Squat,Side,1
48,4,Front lunge,Frontal,-11
49,4,Front lunge,Side,-13
50,4,Jumping jacks,Frontal,-1
51,4,Jumping jacks,Side,4
52,4,Lateral arm raise,Frontal,2
53,4,Lateral arm raise,Side,0
54,4,Leg extension crunch,Frontal,-44
55,4,Leg extension crunch,Side,-23
56,4,Reverse fly,Frontal,-3
57,4,Reverse fly,Side,-1
58,4,Side squat,Frontal,-3
59,4,Side squat,Side,0
60,4,Single leg deadlift,Frontal,-5
61,4,Single leg deadlift,Side,-1
62,4,Squat,Frontal,-4
63,4,Squat,Side,-6
64,6,Front lunge,Frontal,4
65,6,Front lunge,Side,7
66,6,Jumping jacks,Frontal,3
67,6,Jumping jacks,Side,-1
68,6,Lateral arm raise,Frontal,4
69,6,Lateral arm raise,Side,3
70,6,Leg extension crunch,Frontal,-15
71,6,Leg extension crunch,Side,-9
72,6,Reverse fly,Frontal,5
73,6,Reverse fly,Side,6
74,6,Side squat,Frontal,-5
75,6,Side squat,Side,-6
76,6,Single leg deadlift,Frontal,-13
77,6,Single leg deadlift,Side,-14
78,6,Squat,Frontal,11
79,6,Squat,Side,0
80,7,Front lunge,Frontal,-1
81,7,Front lunge,Side,-3
82,7,Jumping jacks,Frontal,4
83,7,Jumping jacks,Side,6
84,7,Lateral arm raise,Frontal,13
85,7,Lateral arm raise,Side,5
86,7,Leg extension crunch,Frontal,10
87,7,Leg extension crunch,Side,-2
88,7,Reverse fly,Frontal,3
89,7,Reverse fly,Side,1
90,7,Side squat,Frontal,0
91,7,Side squat,Side,-4
92,7,Single leg deadlift,Frontal,
93,7,Single leg deadlift,Side,
94,7,Squat,Frontal,-6
95,7,Squat,Side,-2
96,8,Front lunge,Frontal,11
97,8,Front lunge,Side,19
98,8,Jumping jacks,Frontal,7
99,8,Jumping jacks,Side,5
100,8,Lateral arm raise,Frontal,52
101,8,Lateral arm raise,Side,50
102,8,Leg extension crunch,Frontal,3
103,8,Leg extension crunch,Side,-2
104,8,Reverse fly,Frontal,-4
105,8,Reverse fly,Side,3
106,8,Side squat,Frontal,-3
107,8,Side squat,Side,-2
108,8,Single leg deadlift,Frontal,-46
109,8,Single leg deadlift,Side,-36
110,8,Squat,Frontal,21
111,8,Squat,Side,43
112,9,Front lunge,Frontal,7
113,9,Front lunge,Side,2
114,9,Jumping jacks,Frontal,5
115,9,Jumping jacks,Side,15
116,9,Lateral arm raise,Frontal,9
117,9,Lateral arm raise,Side,2
118,9,Leg extension crunch,Frontal,-32
119,9,Leg extension crunch,Side,-16
120,9,Reverse fly,Frontal,-33
121,9,Reverse fly,Side,0
122,9,Side squat,Frontal,-4
123,9,Side squat,Side,-1
124,9,Single leg deadlift,Frontal,17
125,9,Single leg deadlift,Side,8
126,9,Squat,Frontal,-15
127,9,Squat,Side,-18
128,10,Front lunge,Frontal,6
129,10,Front lunge,Side,1
130,10,Jumping jacks,Frontal,3
131,10,Jumping jacks,Side,2
132,10,Lateral arm raise,Frontal,4
133,10,Lateral arm raise,Side,12
134,10,Leg extension crunch,Frontal,8
135,10,Leg extension crunch,Side,-1
136,10,Reverse fly,Frontal,5
137,10,Reverse fly,Side,3
138,10,Side squat,Frontal,-3
139,10,Side squat,Side,-7
140,10,Single leg deadlift,Frontal,18
141,10,Single leg deadlift,Side,33
142,10,Squat,Frontal,-12
143,10,Squat,Side,-12
