,Subject,Exercise,View,best_shift
0,1,Front lunge,Frontal,48
1,1,Front lunge,Side,
2,1,Jumping jacks,Frontal,9
3,1,Jumping jacks,Side,
4,1,Lateral arm raise,Frontal,3
5,1,Lateral arm raise,Side,
6,1,Leg extension crunch,Frontal,-2
7,1,Leg extension crunch,Side,
8,1,Reverse fly,Frontal,20
9,1,Reverse fly,Side,
10,1,Side squat,Frontal,1
11,1,Side squat,Side,
12,1,Single leg deadlift,Frontal,33
13,1,Single leg deadlift,Side,
14,1,Squat,Frontal,16
15,1,Squat,Side,
16,2,Front lunge,Frontal,-29
17,2,Front lunge,Side,-21
18,2,Jumping jacks,Frontal,8
19,2,Jumping jacks,Side,8
20,2,Lateral arm raise,Frontal,-1
21,2,Lateral arm raise,Side,-4
22,2,Leg extension crunch,Frontal,-32
23,2,Leg extension crunch,Side,-22
24,2,Reverse fly,Frontal,-9
25,2,Reverse fly,Side,-11
26,2,Side squat,Frontal,52
27,2,Side squat,Side,-2
28,2,Single leg deadlift,Frontal,-19
29,2,Single leg deadlift,Side,-21
30,2,Squat,Frontal,3
31,2,Squat,Side,-2
32,3,Front lunge,Frontal,-1
33,3,Front lunge,Side,-5
34,3,Jumping jacks,Frontal,4
35,3,Jumping jacks,Side,8
36,3,Lateral arm raise,Frontal,5
37,3,Lateral arm raise,Side,5
38,3,Leg extension crunch,Frontal,-24
39,3,Leg extension crunch,Side,-24
40,3,Reverse fly,Frontal,2
41,3,Reverse fly,Side,2
42,3,Side squat,Frontal,-8
43,3,Side squat,Side,-19
44,3,Single leg deadlift,Frontal,3
45,3,Single leg deadlift,Side,-4
46,3,Squat,Frontal,1
47,3,Squat,Side,0
48,4,Front lunge,Frontal,-12
49,4,Front lunge,Side,-14
50,4,Jumping jacks,Frontal,-1
51,4,Jumping jacks,Side,3
52,4,Lateral arm raise,Frontal,1
53,4,Lateral arm raise,Side,-1
54,4,Leg extension crunch,Frontal,-44
55,4,Leg extension crunch,Side,-23
56,4,Reverse fly,Frontal,-4
57,4,Reverse fly,Side,-2
58,4,Side squat,Frontal,-4
59,4,Side squat,Side,1
60,4,Single leg deadlift,Frontal,-6
61,4,Single leg deadlift,Side,-2
62,4,Squat,Frontal,-7
63,4,Squat,Side,-7
64,6,Front lunge,Frontal,3
65,6,Front lunge,Side,6
66,6,Jumping jacks,Frontal,2
67,6,Jumping jacks,Side,-1
68,6,Lateral arm raise,Frontal,3
69,6,Lateral arm raise,Side,2
70,6,Leg extension crunch,Frontal,-15
71,6,Leg extension crunch,Side,-10
72,6,Reverse fly,Frontal,4
73,6,Reverse fly,Side,5
74,6,Side squat,Frontal,-38
75,6,Side squat,Side,-5
76,6,Single leg deadlift,Frontal,-13
77,6,Single leg deadlift,Side,-15
78,6,Squat,Frontal,-32
79,6,Squat,Side,0
80,7,Front lunge,Frontal,-2
81,7,Front lunge,Side,-4
82,7,Jumping jacks,Frontal,3
83,7,Jumping jacks,Side,5
84,7,Lateral arm raise,Frontal,12
85,7,Lateral arm raise,Side,4
86,7,Leg extension crunch,Frontal,10
87,7,Leg extension crunch,Side,-2
88,7,Reverse fly,Frontal,2
89,7,Reverse fly,Side,1
90,7,Side squat,Frontal,1
91,7,Side squat,Side,-4
92,7,Single leg deadlift,Frontal,
93,7,Single leg deadlift,Side,
94,7,Squat,Frontal,4
95,7,Squat,Side,-3
96,8,Front lunge,Frontal,10
97,8,Front lunge,Side,19
98,8,Jumping jacks,Frontal,6
99,8,Jumping jacks,Side,5
100,8,Lateral arm raise,Frontal,51
101,8,Lateral arm raise,Side,50
102,8,Leg extension crunch,Frontal,3
103,8,Leg extension crunch,Side,-2
104,8,Reverse fly,Frontal,-6
105,8,Reverse fly,Side,2
106,8,Side squat,Frontal,-5
107,8,Side squat,Side,-2
108,8,Single leg deadlift,Frontal,-48
109,8,Single leg deadlift,Side,-40
110,8,Squat,Frontal,20
111,8,Squat,Side,41
112,9,Front lunge,Frontal,6
113,9,Front lunge,Side,1
114,9,Jumping jacks,Frontal,4
115,9,Jumping jacks,Side,15
116,9,Lateral arm raise,Frontal,9
117,9,Lateral arm raise,Side,1
118,9,Leg extension crunch,Frontal,-31
119,9,Leg extension crunch,Side,-16
120,9,Reverse fly,Frontal,-33
121,9,Reverse fly,Side,1
122,9,Side squat,Frontal,-4
123,9,Side squat,Side,-1
124,9,Single leg deadlift,Frontal,16
125,9,Single leg deadlift,Side,7
126,9,Squat,Frontal,-14
127,9,Squat,Side,-19
128,10,Front lunge,Frontal,5
129,10,Front lunge,Side,1
130,10,Jumping jacks,Frontal,2
131,10,Jumping jacks,Side,1
132,10,Lateral arm raise,Frontal,4
133,10,Lateral arm raise,Side,11
134,10,Leg extension crunch,Frontal,9
135,10,Leg extension crunch,Side,-2
136,10,Reverse fly,Frontal,4
137,10,Reverse fly,Side,3
138,10,Side squat,Frontal,-2
139,10,Side squat,Side,-7
140,10,Single leg deadlift,Frontal,17
141,10,Single leg deadlift,Side,31
142,10,Squat,Frontal,-7
143,10,Squat,Side,-13
